post_id,campaign_creator_id,account_id,post_date,impressions,likes,comments,clicks,conversions,revenue_generated
96,59,33,2026-03-02,741038,39970,4186,16618,2042,1201794.63
97,59,33,2025-03-25,556033,25432,3730,2762,292,100951.69
98,60,24,2025-06-03,177529,6435,731,1139,51,58847.82
99,60,24,2026-06-07,472122,35265,3583,10152,889,301808.4
100,60,25,2025-11-12,763414,8963,589,1614,75,27239.68
101,61,18,2025-03-07,572451,51251,9646,2646,446,133438.32
102,61,18,2025-07-04,147007,10476,2054,3902,317,567090.09
103,62,35,2026-01-22,398892,6549,1267,14054,458,725217.44
104,62,34,2025-07-02,568356,23555,1011,22274,3383,4810890.19
105,64,46,2026-03-11,562772,22703,1392,10976,399,216315.74
106,64,47,2025-04-26,38782,2899,276,1206,193,52930.44
107,65,13,2025-04-14,627795,7964,1016,18033,329,459888.92
108,66,54,2025-08-28,570979,15634,2743,2366,226,157828.99
109,66,54,2025-11-25,253411,8651,396,6864,326,233343.13
110,67,59,2026-03-14,587851,29186,5691,22209,2756,4045800.07
111,68,60,2026-02-23,161466,5488,291,3623,184,110268.27
112,68,59,2026-04-20,65423,3597,698,1516,49,30695.1
113,69,46,2025-03-22,476635,37068,1358,14077,596,397004.81
114,71,33,2025-03-16,202303,15045,1892,5566,261,149756.08
115,71,33,2025-11-07,21078,567,30,636,87,123471.5
116,71,33,2025-07-29,420898,35022,4180,13245,989,1065308.96
117,72,56,2025-09-25,382114,19497,2135,2196,388,379351.54
118,72,56,2025-07-28,393712,13793,389,13715,1865,513137.68
119,75,2,2025-10-30,164814,4234,259,3898,201,221802.68
120,75,2,2025-09-21,517356,45175,6121,10679,412,610671.36
121,75,1,2025-05-24,760303,40846,2170,27215,4853,8413729.5
122,76,19,2025-03-18,705674,9795,207,5098,597,212144.13
123,76,19,2025-01-10,234344,11824,1030,5970,736,887325.29
124,76,20,2026-05-15,21495,226,26,52,5,3379.24
125,77,24,2026-05-30,736758,47095,7775,26944,759,303058.48
126,77,24,2025-09-04,206255,12289,804,3190,462,172085.68
127,78,23,2025-09-07,736105,20661,2957,25188,3051,4821311.31
128,78,22,2025-04-06,429965,17345,2072,1776,20,10312.89
129,79,35,2025-12-06,598343,52765,10304,21541,3581,2170580.43
130,79,36,2026-05-02,289263,3970,132,10752,1751,1967143.95
131,80,50,2025-11-19,21418,1861,233,655,85,73725.5
132,81,4,2025-06-16,596353,17436,2968,10011,1625,1241794.53
133,82,22,2025-03-22,530119,36915,3036,3028,149,54806.41
134,82,23,2025-12-01,36064,2190,352,689,33,36537.88
135,82,23,2026-03-19,199760,12859,1786,1050,120,178438.26
136,83,48,2025-03-26,285989,6388,946,7460,1012,749741.47
137,83,48,2025-04-04,10447,892,89,323,8,3082.49
138,83,49,2026-04-05,589041,32031,2993,1765,123,48492.7
139,85,56,2026-01-30,17940,598,53,93,15,24796.08
140,85,55,2026-06-18,182820,11851,598,2233,124,59048.67
141,85,55,2026-03-22,294366,12860,1378,1449,76,48048.31
142,86,9,2025-07-20,485102,9002,673,18460,1227,1486262.51
143,86,9,2026-03-27,355996,15823,2662,9519,1057,756468.15
144,86,10,2025-07-25,507278,17823,3450,19688,1172,1555460.28
145,87,31,2025-09-06,346716,13897,2320,5870,172,193322.55
146,87,31,2025-07-04,719827,51402,1277,21331,3632,2088236.61
147,88,32,2026-02-23,710668,35493,4756,7957,970,1317857.91
148,88,32,2025-03-17,475880,42475,4513,8199,788,1321167.01
149,89,39,2025-02-07,381993,25261,4198,9383,1552,651099.09
150,89,38,2025-12-30,179418,11080,309,7064,884,768556.24
151,89,39,2026-03-17,116090,1258,83,2484,243,279402.22
152,91,26,2026-04-02,397292,16404,2608,9680,920,721923.49
153,91,26,2026-05-10,114627,3855,715,603,91,125737.76
154,91,26,2025-11-16,364731,16933,969,7422,675,627181.11
155,92,56,2025-11-23,75437,2566,425,480,74,92822.15
156,92,55,2025-09-07,546058,13081,638,12709,2197,1338799.29
157,92,56,2025-07-08,200440,12274,1200,623,71,39465.55
158,93,35,2026-02-03,9666,641,36,295,43,14919.87
159,93,34,2025-07-11,388561,14018,1434,4650,728,777473.63
160,93,36,2025-11-17,630969,25927,2350,4000,279,267751.81
161,94,4,2025-03-28,709758,14703,605,9655,396,524631.35
162,95,39,2026-03-05,630397,13256,1180,5710,673,891604.56
163,95,40,2025-06-27,586868,13702,986,5346,818,989849.91
164,95,39,2025-01-10,513149,10736,1790,19820,1901,1933703.41
165,96,13,2026-03-02,749638,57865,6247,3854,58,82918.99
166,96,13,2025-02-03,293204,8206,590,9285,985,1425737.11
167,96,13,2026-06-08,123710,6905,471,2800,499,543993.45
168,97,47,2026-03-28,577892,15882,1533,17318,2097,1328814.42
169,98,20,2025-09-27,370509,29261,1043,12923,387,583761.56
170,100,37,2026-03-15,179044,10615,1711,5893,865,980577.18
171,101,44,2025-06-22,344375,30415,2210,8183,1406,1472564.58
172,101,44,2025-05-19,791530,57667,10690,31435,4947,2209709.44
173,101,44,2025-09-13,158347,10595,1791,4898,612,617300.55
174,102,53,2026-03-01,398396,18389,2465,14121,364,381909.12
175,102,53,2026-01-13,481782,41443,3270,1008,142,196772.56
176,102,53,2026-01-02,71407,5259,481,2769,415,421975.39
177,104,16,2025-12-12,578896,32554,3968,11834,809,1058135.99
178,104,16,2025-02-17,109411,6574,1121,286,48,23753.97
179,105,29,2026-03-15,217146,19468,3576,7713,472,757728.14
180,105,30,2025-04-06,691385,26849,935,18841,2266,748392.45
181,106,58,2025-08-28,455081,28414,4167,928,84,38277.51
182,106,57,2026-06-16,718013,32745,702,10810,329,520980.53
183,106,57,2026-05-05,79268,2244,80,2586,71,58200.16
184,108,44,2026-01-27,794743,63547,8609,22039,476,534596.26
185,108,44,2026-03-27,373247,25304,3366,2893,231,303575.02
186,109,34,2025-04-13,151814,10656,1343,2519,437,322279.06
187,110,14,2025-10-11,680933,11398,1363,16887,1913,2788011.87
188,111,26,2025-11-05,220425,11334,1266,6704,403,134836.61
189,111,26,2026-05-22,409630,7790,856,10064,1004,1772491.99
190,111,26,2025-11-21,143394,5871,1004,2580,265,137215.41
191,112,55,2025-01-18,620895,9563,642,2181,44,64829.58
192,112,56,2026-05-29,440612,19336,1786,11605,1176,572305.91
193,113,54,2025-03-22,541141,45279,8846,4277,280,324513.73
194,114,37,2025-11-14,737614,33191,6359,8164,420,706932.67
195,114,37,2026-04-10,647039,37985,2874,19530,2654,1154852.7
196,114,37,2025-01-12,176790,8788,724,3828,573,373500.19
197,116,57,2025-10-03,773538,62589,9942,2409,354,237735.75
198,116,57,2025-09-27,751925,66172,8797,15680,1518,509942.68
199,118,50,2026-01-12,169951,5168,199,4046,537,324362.42
200,118,50,2025-02-15,17884,528,55,296,10,16932.98
201,118,50,2026-03-06,240421,8593,815,7061,396,146807.08
202,119,57,2026-05-30,711033,58415,3054,23154,4094,7077801.7
203,119,57,2026-04-22,301020,21637,1642,1590,139,114233.68
204,120,53,2025-09-06,491462,19394,3780,19617,2783,3855340.47
205,120,52,2025-06-04,11687,988,24,263,31,41070.79
206,121,30,2025-01-02,694233,27840,4255,9500,426,755651.32
207,122,4,2025-03-03,154289,10326,379,5709,927,978566.03
208,122,4,2026-04-15,789229,13252,493,5582,833,304867.38
209,123,14,2026-03-22,699622,60963,3817,8337,529,788879.75
210,123,15,2025-11-22,479751,15235,509,4655,663,766625.21
211,123,14,2025-04-19,177359,8152,623,1168,82,118409.8
212,124,12,2026-04-20,282880,22120,802,9246,570,765106.69
213,124,11,2025-08-09,348716,7624,1128,13529,1046,340863.64
214,125,18,2025-06-28,37591,3239,563,869,89,35317.35
215,125,17,2025-05-24,132352,1450,245,5206,167,254957.86
216,126,59,2025-09-23,83629,982,31,3035,259,116453.37
217,126,60,2025-05-06,49770,4249,123,1847,154,211421.64
218,127,52,2026-01-27,721400,31837,2665,26342,1494,1406328.67
219,127,52,2025-02-05,648937,38633,2481,8575,686,757047.26
220,128,8,2025-10-14,406620,8530,476,14482,1439,1766616.13
221,129,29,2026-01-27,753023,29163,3441,15375,2539,2611893.54
222,129,30,2025-10-04,193550,2339,298,602,88,60319.22
223,129,30,2026-01-02,617356,55542,10848,3583,435,288455.83
224,131,52,2025-08-13,608656,47304,7735,9423,1438,2243412.87
225,131,52,2025-08-31,626301,22196,3392,9791,1082,1450260.83
226,131,53,2025-05-26,595462,51132,8723,19528,3416,3724441.34
227,132,26,2025-02-08,99641,1444,185,274,25,19104.69
228,133,54,2025-05-14,362311,24403,4523,12348,802,227739.92
229,133,54,2025-04-24,556860,43910,8470,9019,1534,1324107.57
230,133,54,2025-12-11,321423,11509,2251,9587,807,1001375.87
231,136,10,2025-11-21,187664,12493,1513,6719,768,616765.13
232,136,10,2025-06-29,401764,13879,1997,2747,367,631468.11
233,137,60,2025-02-03,195926,11401,2118,7595,361,406703.64
234,137,60,2025-05-25,352255,24526,1541,13854,533,864657.33
235,137,59,2025-12-10,473325,5164,298,13414,933,1371398.98
236,138,45,2025-02-19,409684,18459,1763,3408,273,441371.25
237,138,46,2026-01-20,111355,8496,1376,2668,370,221871.69
238,138,46,2025-03-17,40035,1344,103,1527,34,17464.54
239,139,19,2025-03-18,578619,49383,9681,8587,1524,2490978.87
240,139,21,2025-02-01,457275,39049,1940,16375,601,244576.71
241,140,41,2026-02-24,736063,39989,7462,16579,2027,1441138.22
242,142,29,2026-02-07,604544,32629,3536,2461,26,10031.42
243,143,43,2026-05-07,214374,3807,217,5627,990,974194.16
244,143,41,2025-11-12,421774,20108,3641,5090,606,515504.22
245,143,42,2026-01-26,392345,9779,274,7340,402,622083.77
246,144,8,2025-06-04,793775,52165,1951,21740,3204,2856940.52
247,144,10,2025-08-21,585493,8711,781,12797,2228,2929720.4
248,144,9,2025-08-30,504397,17103,1557,17376,276,313367.89
249,145,54,2025-05-04,798969,36691,7001,6673,307,168458.71
250,145,54,2026-03-10,87175,7764,763,3477,405,624861.37
251,145,54,2025-11-24,767422,63798,2045,12852,996,752474.56
252,146,32,2025-01-13,739435,44251,5047,13268,1067,511850.14
253,146,32,2025-04-19,595016,43057,6950,20804,3320,5347640.27
254,147,44,2026-05-13,604809,35512,949,7539,259,309094.66
255,147,44,2025-02-09,420018,34091,2715,4631,633,1061727.24
256,148,26,2025-12-12,322776,11257,1932,11172,1412,2481406.15
257,148,26,2025-05-18,320076,28146,2807,10684,596,534014.65
258,149,5,2025-07-12,468173,12599,2120,14118,1964,3130896.66
259,149,5,2026-06-12,171694,2618,386,2975,424,450560.9
260,149,7,2025-01-30,187176,4758,808,6327,331,316930.99
261,150,44,2025-10-08,391244,29687,3292,10229,317,94267.22
262,150,44,2026-05-16,627899,28687,5533,12579,1304,1021796.09
263,151,14,2025-10-19,33783,1382,68,802,139,219414.61
264,151,14,2025-07-31,287154,17840,2005,10009,1745,2281429.72
265,152,41,2025-06-27,635343,47059,2836,15957,2717,3680849.65
266,152,43,2025-10-09,449393,36687,6357,8737,411,295231.53
267,153,54,2025-04-15,12704,646,89,432,31,38854.79
268,153,54,2025-11-02,722659,13476,424,28586,3398,5386890.11
269,153,54,2025-11-02,202509,4454,702,7328,1076,1607182.25
270,154,54,2025-11-24,718824,15235,374,15023,905,1498420.19
271,154,54,2026-02-02,777519,9972,1470,18456,780,1073398.8
272,154,54,2026-05-03,709505,27443,2031,6002,731,815272.95
273,156,17,2026-04-28,139159,9640,1451,3234,534,917268.48
274,156,18,2025-04-02,238049,9146,1408,3253,468,357337.45
275,157,36,2025-10-29,491288,38368,4016,17157,1873,3209697.4
276,157,34,2026-04-29,208993,10457,1841,3449,209,69763.38
277,158,17,2025-07-25,364315,15569,1907,13279,1165,862559.43
278,159,1,2025-03-24,516265,18900,3734,7181,142,134996.92
279,159,1,2025-06-22,609272,43355,4687,18896,471,566350.93
280,159,2,2026-02-18,454865,39676,3531,1561,68,56324.89
281,160,25,2025-07-15,23786,1525,202,272,34,26647.23
282,161,17,2026-01-28,532786,30418,1522,17745,1077,754743.37
283,162,4,2026-03-21,725141,65000,5309,26288,1868,1012568.74
284,162,4,2025-01-20,244513,6833,1348,2451,33,34062.01
285,162,3,2026-01-11,750652,46572,1244,26504,1417,1528711.78
286,163,31,2025-02-19,699125,13038,2222,2679,79,74156.28
287,166,33,2026-05-01,740962,16486,2392,19229,1176,1500082.19
288,167,32,2025-05-21,444170,33957,1320,13020,390,166420.59
289,167,32,2026-05-25,213296,12524,2004,7166,1257,1011607.01
290,167,32,2025-10-30,173163,2277,248,1712,288,219581.45
291,168,32,2025-04-02,120795,9279,1302,926,23,23992.3
292,171,11,2025-09-20,680636,19393,3839,9017,801,324167.76
293,171,11,2025-02-10,309681,12020,1704,5632,167,262095.0
294,171,11,2025-01-10,150117,9467,479,2339,197,239118.78
295,172,38,2026-01-17,364370,8974,826,14052,789,668960.76
296,172,39,2026-03-08,685364,55439,2773,4821,643,1139030.91
297,172,38,2025-04-17,441236,36577,3909,10421,880,1053844.79
298,173,33,2025-05-14,511545,42781,1725,9017,160,104879.99
299,173,33,2025-01-13,743793,59106,6765,22505,2994,1787946.82
300,175,30,2026-06-16,553513,36011,4727,10211,1363,1358898.73
301,175,31,2026-01-30,160875,12407,1495,6360,122,152166.7
302,175,29,2026-06-02,497085,38847,6856,2408,225,140261.02
303,176,29,2026-06-04,238524,12889,1136,7883,184,172682.67
304,176,31,2026-04-04,97295,7640,767,633,59,74500.96
305,177,58,2026-02-27,42572,2323,46,232,26,31448.37
306,178,16,2026-04-13,362411,14158,421,3794,331,370135.39
307,178,16,2026-01-08,755689,34914,1310,20432,211,168898.2
308,179,28,2026-06-19,397052,26272,741,3270,110,149723.97
309,179,28,2025-04-20,271641,15991,859,10145,779,746610.2
310,179,27,2025-12-13,118000,8327,236,3075,382,168458.08
311,180,44,2026-06-01,146176,12733,264,4381,455,418989.52
312,180,44,2026-06-05,190810,12468,639,6292,173,219564.47
313,181,60,2026-06-01,408348,17760,2302,11562,603,522619.19
314,181,60,2025-10-29,479843,35692,1601,11946,1919,2003544.74
315,181,60,2025-08-11,215647,5774,857,6057,1009,459741.95
316,182,10,2025-07-02,533370,28481,3834,15464,2154,2415784.94
317,182,10,2026-03-04,711995,49718,8524,9160,1411,2120552.97
318,182,10,2025-04-20,31499,1274,37,130,7,10273.02
319,184,25,2025-05-30,70046,4570,334,2145,33,49887.44
320,184,24,2025-08-18,783476,48394,4355,16778,2440,3242757.98
321,185,52,2026-01-26,411380,17823,2884,11533,2008,669453.94
322,185,53,2025-07-27,655706,52133,9117,12351,597,735726.18
323,185,53,2025-07-21,765127,66675,4864,6688,843,455062.95
324,186,21,2026-06-11,130151,5228,507,3013,96,110897.13
325,187,37,2025-12-05,493983,32985,1578,3873,251,82535.31
326,187,37,2026-05-18,605495,32704,1083,17493,1737,3010795.88
327,188,16,2026-06-02,172112,7448,868,945,44,25550.73
328,188,16,2025-12-06,383323,12835,2452,9772,886,992380.92
329,188,16,2025-04-28,706432,26618,1683,18654,3099,1945961.59
330,189,56,2026-01-26,123881,5063,593,1579,260,396309.95
331,190,10,2026-06-05,472200,23111,1695,12635,814,307395.25
332,190,8,2025-06-21,569107,29967,3981,5696,666,386560.69
333,192,39,2025-04-17,220565,11694,1713,8623,1222,1530151.49
334,192,38,2025-06-07,29906,1397,111,159,3,4443.1
335,192,40,2025-03-14,607891,46035,8469,10632,921,807619.77
336,193,13,2026-02-03,711004,13839,291,20882,433,608895.03
337,193,13,2025-03-16,380075,32018,1252,12125,742,284989.66
338,195,2,2026-02-09,697818,8698,418,7225,989,1468659.24
339,195,2,2025-05-28,317534,20380,3761,10227,1370,1134842.65
340,196,13,2025-05-07,48802,507,64,1093,186,134342.46
341,197,49,2025-08-05,437699,36088,6252,3244,133,160420.83
342,197,49,2025-07-18,125190,3068,502,4304,665,1127290.24
343,197,49,2025-03-16,309771,19743,1285,2943,319,550238.91
344,198,29,2025-08-29,109904,3606,117,1027,95,72098.96
345,198,31,2025-11-10,732143,41537,5059,11605,740,676268.58
346,200,13,2025-09-10,237286,15892,2150,2969,211,275006.7
