payment_id,campaign_creator_id,amount_paid,payment_date,payment_status
115,115,0,,Not Paid
116,116,73758.42,2026-03-18,Paid
117,117,0,,Not Paid
118,118,0,,Pending
119,119,59451.56,2025-02-14,Paid
120,120,0,,Pending
121,121,15390.94,2026-05-09,Paid
122,122,17395.49,2025-12-25,Partially Paid
123,123,72494.05,2026-03-12,Paid
124,124,51529.89,2025-09-18,Paid
125,125,37812.28,2025-08-27,Partially Paid
126,126,87325.49,2025-10-18,Paid
127,127,0,,Pending
128,128,69840.42,2025-07-13,Paid
129,129,0.0,,Pending
130,130,0,,Not Paid
131,131,18134.28,2026-06-20,Paid
132,132,63171.93,2026-06-17,Paid
133,133,0.0,,Pending
134,134,0,,Not Paid
135,135,0,,Not Paid
136,136,0,,Pending
137,137,41480.26,2025-11-20,Paid
138,138,0,,Pending
139,139,16478.95,2025-04-20,Partially Paid
140,140,17521.88,2026-03-13,Paid
141,141,0,,Not Paid
142,142,42368.39,2025-09-25,Paid
143,143,0,,Pending
144,144,10682.74,2025-10-10,Paid
145,145,12908.06,2025-07-28,Partially Paid
146,146,0,,Pending
147,147,0,,Pending
148,148,30622.28,2026-01-15,Paid
149,149,0,,Pending
150,150,12147.44,2025-11-11,Paid
151,151,27972.65,2026-02-12,Paid
152,152,72532.2,2025-05-02,Paid
153,153,70742.9,2026-04-03,Paid
154,154,27105.89,2025-04-13,Paid
155,155,0,,Not Paid
156,156,78389.3,2026-06-05,Paid
157,157,0,,Pending
158,158,62206.73,2025-02-23,Paid
159,159,72778.74,2026-02-03,Paid
160,160,56285.94,2025-04-04,Paid
161,161,0.0,,Pending
162,162,0,,Pending
163,163,28340.31,2025-04-01,Partially Paid
164,164,0,,Not Paid
165,165,0,,Not Paid
166,166,32733.69,2025-09-27,Paid
167,167,0.0,,Pending
168,168,33208.46,2025-03-23,Partially Paid
169,169,0,,Not Paid
170,170,0,,Not Paid
171,171,52965.23,2026-01-29,Paid
172,172,24727.6,2026-06-18,Partially Paid
173,173,16132.63,2025-02-28,Paid
174,174,0,,Not Paid
175,175,67108.87,2026-05-22,Paid
176,176,17896.19,2025-01-11,Partially Paid
177,177,40695.88,2026-06-15,Paid
178,178,33628.96,2025-07-19,Paid
179,179,62538.84,2026-06-07,Paid
180,180,46889.97,2025-06-23,Paid
181,181,76205.29,2026-01-04,Paid
182,182,18669.47,2025-01-01,Paid
183,183,0,,Not Paid
184,184,54058.04,2025-03-30,Paid
185,185,20843.15,2026-02-14,Partially Paid
186,186,57233.63,2026-02-09,Paid
187,187,0,,Pending
188,188,77320.62,2026-06-15,Paid
189,189,17420.6,2025-03-12,Paid
190,190,0.0,,Pending
191,191,0,,Not Paid
192,192,84184.91,2025-12-23,Paid
193,193,30408.17,2025-10-11,Paid
194,194,0,,Not Paid
195,195,61902.26,2025-07-19,Paid
196,196,0,,Pending
197,197,25749.79,2025-01-05,Partially Paid
198,198,33554.26,2025-06-29,Paid
199,199,0,,Not Paid
200,200,0,,Pending
201,201,0,,Not Paid
