campaign_id,brand_id,campaign_name,start_date,end_date,budget,objective
52,18,Campaign_052,2026-01-18,2026-02-28,404937.38,Engagement
53,16,Campaign_053,2025-04-23,2025-05-17,232022.09,Awareness
54,13,Campaign_054,2025-06-22,2025-07-24,368986.15,App Installs
55,5,Campaign_055,2025-11-15,2025-12-26,37809.06,App Installs
56,19,Campaign_056,2025-10-16,2025-10-24,64875.04,App Installs
57,5,Campaign_057,2026-03-20,2026-04-25,111321.29,Conversions
58,13,Campaign_058,2025-06-17,2025-07-07,240982.18,Conversions
59,13,Campaign_059,2025-05-23,2025-06-25,144828.98,Awareness
60,16,Campaign_060,2025-01-10,2025-02-20,49740.66,Conversions
61,8,Campaign_061,2025-11-29,2025-12-10,396085.7,Awareness
62,1,Campaign_062,2026-05-02,2026-05-24,119696.32,Awareness
63,20,Campaign_063,2025-03-20,2025-04-11,84954.96,Awareness
64,19,Campaign_064,2026-05-01,2026-05-21,245891.14,Conversions
65,12,Campaign_065,2025-03-27,2025-05-11,313442.56,Awareness
66,6,Campaign_066,2026-05-09,2026-06-04,76346.91,Awareness
67,10,Campaign_067,2025-10-22,2025-11-22,213410.86,Engagement
68,3,Campaign_068,2025-10-31,2025-11-22,73403.12,Conversions
69,20,Campaign_069,2026-02-17,2026-03-03,403207.93,Lead Generation
70,2,Campaign_070,2025-06-27,2025-08-07,228479.56,Conversions
71,3,Campaign_071,2025-09-17,2025-10-15,31009.77,App Installs
72,16,Campaign_072,2025-02-24,2025-03-30,481374.09,App Installs
73,5,Campaign_073,2025-08-11,2025-08-29,373552.77,Conversions
74,20,Campaign_074,2026-02-18,2026-03-31,392954.69,App Installs
75,14,Campaign_075,2026-02-27,2026-04-12,152487.88,Engagement
76,3,Campaign_076,2025-05-23,2025-06-27,140835.13,App Installs
77,19,Campaign_077,2025-11-09,2025-12-10,184788.39,App Installs
78,11,Campaign_078,2025-04-04,2025-05-12,125756.93,Conversions
79,11,Campaign_079,2025-05-24,2025-07-08,358062.28,Conversions
80,18,Campaign_080,2025-01-06,2025-02-15,475329.72,Awareness
