campaign_creator_id,campaign_id,creator_id,agreed_fee,campaign_status
139,52,10,32957.9,Ongoing
140,52,21,17521.88,Completed
141,53,13,38422.94,Cancelled
142,53,15,42368.39,Completed
143,54,21,58483.48,Completed
144,54,4,10682.74,Completed
145,54,27,25816.11,Ongoing
146,54,16,85945.52,Completed
147,55,22,38121.47,Completed
148,56,13,30622.28,Completed
149,57,3,60438.42,Completed
150,57,22,12147.44,Completed
151,57,7,27972.65,Completed
152,57,21,72532.2,Completed
153,58,27,70742.9,Completed
154,59,27,27105.89,Completed
155,59,28,72668.79,Cancelled
156,60,9,78389.3,Completed
157,61,18,73478.13,Completed
158,61,9,62206.73,Completed
159,62,1,72778.74,Completed
160,62,12,56285.94,Completed
161,63,9,18394.2,Ongoing
162,63,2,51139.01,Completed
163,64,15,56680.61,Ongoing
164,64,25,49314.77,Cancelled
165,64,12,11555.93,Cancelled
166,64,17,32733.69,Completed
167,65,16,77478.48,Ongoing
168,66,16,66416.91,Ongoing
169,67,29,14624.82,Cancelled
170,68,3,30551.31,Cancelled
171,68,5,52965.23,Completed
172,69,20,49455.19,Ongoing
173,69,17,16132.63,Completed
174,69,10,77929.0,Cancelled
175,69,15,67108.87,Completed
176,70,15,35792.39,Ongoing
177,70,29,40695.88,Completed
178,70,8,33628.96,Completed
179,70,14,62538.84,Completed
180,71,22,46889.97,Completed
181,71,30,76205.29,Completed
182,72,4,18669.47,Completed
183,72,24,56090.14,Cancelled
184,72,12,54058.04,Completed
185,72,26,41686.31,Ongoing
186,73,10,57233.63,Completed
187,74,19,49607.83,Completed
188,75,8,77320.62,Completed
189,75,28,17420.6,Completed
190,75,4,55076.2,Ongoing
191,75,12,77302.72,Cancelled
192,76,20,84184.91,Completed
193,77,6,30408.17,Completed
194,78,12,79328.74,Cancelled
195,78,1,61902.26,Completed
196,78,6,19633.72,Completed
197,79,24,51499.58,Ongoing
198,80,15,33554.26,Completed
199,80,11,71700.52,Cancelled
200,80,6,56890.35,Completed
201,80,12,20757.55,Cancelled
